Strategy,Coverage,R_value,Size
DV,1,1,1,
DV,1,1,1,
DV,1,1,3,
DV,1,1,1,
DV,1,1,1,
DV,1,1,1,
DV,1,1,1,
DV,1,1,1,
DV,1,1,1,
DV,1,1,1,
DV,1,1,2,
DV,1,1,2,
DV,1,1,5,
DV,1,1,1,
DV,1,1,1,
DV,1,1,53,
DV,1,1,1,
DV,1,1,1,
DV,1,1,15,
DV,1,1,1,
DV,1,1,4,
DV,1,1,1,
DV,1,1,25,
DV,1,1,1,
DV,1,1,9,
DV,1,1,1,
DV,1,1,1,
DV,1,1,1,
DV,1,1,62,
DV,1,1,1,
DV,1,1,1,
DV,1,1,1,
DV,1,1,4,
DV,1,1,1,
DV,1,1,2,
DV,1,1,9,
DV,1,1,1,
DV,1,1,1,
DV,1,1,4,
DV,1,1,1,
DV,1,1,1,
DV,1,1,1,
DV,1,1,1,
DV,1,1,4,
DV,1,1,4,
DV,1,1,14,
DV,1,1,4,
DV,1,1,2,
DV,1,1,3,
DV,1,1,8,
DV,1,1,1,
DV,1,1,27,
DV,1,1,19,
DV,1,1,1,
DV,1,1,174,
DV,1,1,1,
DV,1,1,1,
DV,1,1,1,
DV,1,1,3,
DV,1,1,1,
DV,1,1,1,
DV,1,1,6,
DV,1,1,5,
DV,1,1,1,
DV,1,1,2,
DV,1,1,1,
DV,1,1,1,
DV,1,1,56,
DV,1,1,4,
DV,1,1,1,
DV,1,1,59,
DV,1,1,1,
DV,1,1,3,
DV,1,1,1,
DV,1,1,1,
DV,1,1,1,
DV,1,1,2,
DV,1,1,1,
DV,1,1,11,
DV,1,1,1,
DV,1,1,1,
DV,1,1,1,
DV,1,1,1,
DV,1,1,1,
DV,1,1,1,
DV,1,1,1,
DV,1,1,7,
DV,1,1,1,
DV,1,1,1,
DV,1,1,1,
DV,1,1,1,
DV,1,1,3,
DV,1,1,1,
DV,1,1,10,
DV,1,1,9,
DV,1,1,1,
DV,1,1,4,
DV,1,1,12,
DV,1,1,2,
DV,1,1,1,
DV,1,1,1,
DV,1,1,1,
DV,1,1,1,
DV,1,1,2,
DV,1,1,11,
DV,1,1,1,
DV,1,1,3,
DV,1,1,10872,
DV,1,1,22760,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,5,
DV,1,1.2,1,
DV,1,1.2,2,
DV,1,1.2,1,
DV,1,1.2,2,
DV,1,1.2,40,
DV,1,1.2,2,
DV,1,1.2,2,
DV,1,1.2,1,
DV,1,1.2,3,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,3,
DV,1,1.2,1,
DV,1,1.2,2,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,4,
DV,1,1.2,12,
DV,1,1.2,2,
DV,1,1.2,358,
DV,1,1.2,2,
DV,1,1.2,1,
DV,1,1.2,7,
DV,1,1.2,11,
DV,1,1.2,207,
DV,1,1.2,2,
DV,1,1.2,412,
DV,1,1.2,3,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,3,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,5,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,14,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,2,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,2,
DV,1,1.2,3,
DV,1,1.2,1,
DV,1,1.2,11,
DV,1,1.2,1,
DV,1,1.2,3,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,7,
DV,1,1.2,1,
DV,1,1.2,55,
DV,1,1.2,2,
DV,1,1.2,196,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,3,
DV,1,1.2,1,
DV,1,1.2,285,
DV,1,1.2,1,
DV,1,1.2,5,
DV,1,1.2,546,
DV,1,1.2,1,
DV,1,1.2,3,
DV,1,1.2,5,
DV,1,1.2,4,
DV,1,1.2,3,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,2,
DV,1,1.2,2,
DV,1,1.2,4,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,2,
DV,1,1.2,6153,
DV,1,1.2,181,
DV,1,1.2,350,
DV,1,1.2,1,
DV,1,1.2,2,
DV,1,1.2,1,
DV,1,1.2,2,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,2,
DV,1,1.2,1,
DV,1,1.2,3,
DV,1,1.2,1,
DV,1,1.2,2,
DV,1,1.2,1,
DV,1,1.2,11,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,2,
DV,1,1.2,2,
DV,1,1.2,1,
DV,1,1.2,9,
DV,1,1.2,7,
DV,1,1.2,1,
DV,1,1.2,979,
DV,1,1.2,1,
DV,1,1.2,9,
DV,1,1.2,2,
DV,1,1.2,23,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,53,
DV,1,1.2,1,
DV,1,1.2,3,
DV,1,1.2,1,
DV,1,1.2,3,
DV,1,1.2,1,
DV,1,1.2,3,
DV,1,1.2,5,
DV,1,1.2,2,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,2,
DV,1,1.2,5,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,7,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,1,
DV,1,1.2,4,
